Price,Close,High,Low,Open,Volume
Ticker,030520.KQ,030520.KQ,030520.KQ,030520.KQ,030520.KQ
Date,,,,,
2025-11-18,22800.0,23950.0,22800.0,23850.0,156233
2025-11-19,22450.0,23050.0,22150.0,22750.0,143111
2025-11-20,22750.0,23150.0,22650.0,22950.0,90860
2025-11-21,21950.0,22150.0,21750.0,21800.0,91395
2025-11-24,22350.0,22650.0,21950.0,22200.0,106945
2025-11-25,23150.0,23550.0,22650.0,22850.0,130477
2025-11-26,23750.0,23850.0,23050.0,23500.0,107773
2025-11-27,23300.0,23800.0,23200.0,23650.0,92758
2025-11-28,23850.0,24050.0,23350.0,23400.0,134931
2025-12-01,24400.0,25250.0,24050.0,24250.0,271393
2025-12-02,24350.0,24750.0,24250.0,24600.0,62614
2025-12-03,24450.0,24650.0,24250.0,24550.0,75955
2025-12-04,24800.0,24850.0,24250.0,24400.0,115719
2025-12-05,24600.0,24900.0,24500.0,24850.0,86591
2025-12-08,24250.0,24700.0,24150.0,24550.0,93886
2025-12-09,24400.0,24450.0,23950.0,24300.0,75707
2025-12-10,24350.0,25350.0,24250.0,24550.0,160162
2025-12-11,24550.0,24900.0,24000.0,24400.0,292062
2025-12-12,24150.0,24750.0,24050.0,24500.0,128492
2025-12-15,23600.0,23750.0,23250.0,23600.0,129676
2025-12-16,23100.0,23700.0,23050.0,23400.0,124995
2025-12-17,22850.0,23250.0,22600.0,23150.0,151218
2025-12-18,23050.0,23100.0,22200.0,22400.0,102868
2025-12-19,23300.0,23350.0,22600.0,23050.0,106638
2025-12-22,23900.0,24100.0,23500.0,23500.0,120878
2025-12-23,23500.0,24100.0,23400.0,24100.0,70714
2025-12-24,23350.0,23500.0,23100.0,23450.0,58687
2025-12-26,23100.0,23650.0,23050.0,23300.0,90365
2025-12-29,23000.0,23250.0,22650.0,22900.0,73359
2025-12-30,22950.0,23250.0,22850.0,22850.0,60061
